benchmark,model_configuration,1 rounds,2 rounds,3 rounds,4 rounds
big_bench,Llama-3_1-8B-Instruct(7),0.774,0.76,0.756,0.746
big_bench,Qwen2_5-7B-Instruct(7),0.73,0.727,0.728,0.728
big_bench,gemma-3-4b-it(7),0.718,0.71,0.708,0.71
llm_bar,Llama-3_1-8B-Instruct(7),0.6166666666666667,0.6225,0.6258333333333334,0.6258333333333334
llm_bar,Qwen2_5-7B-Instruct(7),0.6933333333333334,0.6983333333333334,0.6991666666666667,0.6958333333333333
llm_bar,gemma-3-4b-it(7),0.585,0.59,0.5883333333333334,0.59
judge_bench,Llama-3_1-8B-Instruct(7),0.5854838709677419,0.5790322580645161,0.5854838709677419,0.5887096774193549
judge_bench,Qwen2_5-7B-Instruct(7),0.6064516129032258,0.6,0.5983870967741935,0.6
judge_bench,gemma-3-4b-it(7),0.5580645161290323,0.5693548387096774,0.5661290322580645,0.567741935483871
mllm_judge_pair,gemma-3-4b-it(7),0.6275,0.6275,0.6275,0.6275
judge_anything_pair,gemma-3-4b-it(7),0.6277777777777778,0.6277777777777778,0.6277777777777778,0.6277777777777778
truthful_qa,Llama-3_1-8B-Instruct(7),0.5458996328029376,0.5471236230110159,0.5483476132190942,0.5507955936352509
truthful_qa,Qwen2_5-7B-Instruct(7),0.3047735618115055,0.3182374541003672,0.3182374541003672,0.3182374541003672
truthful_qa,gemma-3-4b-it(7),0.32068543451652387,0.33047735618115054,0.33047735618115054,0.33047735618115054
